txn_id,account_id,counterparty_id,amount,timestamp,merchant_category,device_id,ip_region,account_open_date
TXN-000644,AC-0055,MR-9801,113.72,2026-01-24 15:46:08,entertainment,DEV-0077,us-west,2027-07-29
TXN-000167,AC-0020,MR-8377,779.25,2026-01-04 13:45:47,entertainment,DEV-0240,eu-west,2026-03-08
TXN-001445,AC-0117,MR-2710,29.85,2026-02-13 03:52:30,food,DEV-0241,us-west,2027-10-13
TXN-001878,AC-0144,MR-6003,114.71,2026-03-19 02:17:33,travel,DEV-0161,us-east,2026-12-23
TXN-000464,AC-0042,MR-9489,67.5,2026-03-22 00:05:47,utilities,DEV-0015,us-west,2026-01-30
TXN-000158,AC-0019,MR-8531,899.64,2026-03-01 05:54:09,travel,DEV-0261,us-west,2027-11-15
TXN-001809,AC-0139,MR-9226,69.98,2026-01-13 23:43:07,entertainment,DEV-0266,us-west,2027-12-16
TXN-002639,AC-0198,MR-2149,90.8,2026-02-24 02:55:23,utilities,DEV-0113,us-west,2026-01-07
TXN-001868,AC-0144,MR-2228,110.42,2026-02-23 07:46:32,travel,DEV-0161,us-east,2026-12-23
TXN-002054,AC-0157,MR-7920,43.58,2026-01-21 21:48:23,travel,DEV-0002,us-east,2026-03-26
TXN-001628,AC-0129,MR-3933,102.83,2026-03-08 22:34:02,retail,DEV-0261,us-east,2026-09-09
TXN-003859,AC-0276,MR-9876,70.81,2026-02-10 17:37:34,food,DEV-0287,us-west,2027-02-20
TXN-003972,AC-0286,MR-4734,107.69,2026-03-10 10:44:30,utilities,DEV-0189,us-east,2026-03-09
TXN-000185,AC-0022,MR-2380,59.17,2026-02-22 08:37:19,travel,DEV-0271,eu-west,2027-03-25
TXN-001653,AC-0130,MR-9533,107.57,2026-02-28 11:42:52,entertainment,DEV-0246,us-west,2027-02-02
TXN-001979,AC-0152,MR-1814,61.8,2026-02-25 00:54:27,travel,DEV-0219,us-west,2027-03-01
TXN-002516,AC-0187,MR-1076,70.24,2026-02-05 17:34:01,travel,DEV-0177,us-east,2026-10-04
TXN-000458,AC-0042,MR-2057,66.51,2026-03-23 12:01:51,retail,DEV-0015,us-west,2026-01-30
TXN-002317,AC-0173,MR-8212,5.13,2026-03-19 01:58:53,utilities,DEV-0244,us-east,2027-12-12
TXN-000151,AC-0019,MR-5303,548.77,2026-03-03 01:30:06,retail,DEV-0261,us-west,2027-11-15
TXN-003009,AC-0223,MR-5642,72.12,2026-01-08 13:02:36,travel,DEV-0163,us-west,2027-07-29
TXN-003509,AC-0256,MR-1985,44.01,2026-03-03 17:19:38,retail,DEV-0236,us-west,2026-02-18
TXN-000221,AC-0024,MR-5781,173.36,2026-02-14 22:14:04,retail,DEV-0035,us-east,2027-04-21
TXN-001223,AC-0099,MR-6740,77.08,2026-02-08 00:59:19,utilities,DEV-0294,us-west,2027-02-13
TXN-001229,AC-0099,MR-5419,55.37,2026-02-12 04:25:51,food,DEV-0294,us-west,2027-02-13
TXN-001534,AC-0124,MR-2248,57.99,2026-02-28 02:56:37,travel,DEV-0096,us-west,2026-01-14
TXN-003689,AC-0265,MR-6136,13.85,2026-02-23 03:30:34,retail,DEV-0064,us-west,2027-03-27
TXN-002352,AC-0175,MR-6614,32.74,2026-01-31 16:26:15,travel,DEV-0257,us-west,2026-10-17
TXN-003502,AC-0256,MR-4757,87.96,2026-01-10 04:01:17,travel,DEV-0236,us-west,2026-02-18
TXN-000275,AC-0029,MR-4732,5.14,2026-02-15 05:26:43,food,DEV-0211,us-east,2027-10-21
TXN-003342,AC-0246,MR-2824,40.28,2026-03-17 07:02:15,entertainment,DEV-0199,us-west,2026-09-25
TXN-003786,AC-0273,MR-6604,114.02,2026-02-17 03:38:33,retail,DEV-0049,us-west,2027-01-06
TXN-003694,AC-0266,MR-6469,35.7,2026-02-15 21:58:19,travel,DEV-0103,us-west,2027-12-26
TXN-000189,AC-0022,MR-6306,136.63,2026-02-28 01:35:49,utilities,DEV-0062,us-west,2027-03-25
TXN-003987,AC-0287,AC-0033,213.28,2026-02-03 22:31:38,transfer,DEV-0021,us-east,2027-12-15
TXN-001613,AC-0128,MR-1471,110.25,2026-01-28 06:21:20,travel,DEV-0063,us-east,2026-03-24
TXN-001065,AC-0086,MR-3639,98.4,2026-03-18 14:31:35,travel,DEV-0059,us-east,2027-01-21
TXN-000315,AC-0033,MR-4263,20.08,2026-01-15 11:53:36,entertainment,DEV-0131,us-east,2026-11-11
TXN-001698,AC-0133,MR-2565,33.54,2026-02-16 18:13:35,utilities,DEV-0173,us-east,2026-09-19
